Colors,V,dV,Peak wavelength,d l,pv/e 1,pv/e 2,sigma,BlueWave,Blue_I,Peak v/e Blue,OrangeWave,Orange_I,Peak v/e Orange,RedWave,Red_I,Peak v/e Red,YellowWave,Yellow_I,Peak v/e Yellow
,,,,,,,,359.34,-14.23,,359.34,1.81,,359.34,11.65,,359.34,120.15,
,,,,,,,,359.55,-0.49,,359.55,-4.13,,359.55,10.2,,359.55,181.59,
,,,,,,,,359.76,-2.31,,359.76,-0.65,,359.76,9.51,,359.76,169.3,
,,,,,,,,359.98,-6.45,,359.98,-5.84,,359.98,18.94,,359.98,-25.94,
,,,,,,,,360.19,-16.33,,360.19,2.56,,360.19,23.59,,360.19,38.23,
,,,,,,,,360.4,-20.33,,360.4,-0.03,,360.4,18.47,,360.4,165.89,
,,,,,,,,360.61,-12,,360.61,15.39,,360.61,2.13,,360.61,161.11,
,,,,,,,,360.83,-9.59,,360.83,24.81,,360.83,10.79,,360.83,104.45,
,,,,,,,,361.04,-5.77,,361.04,21.13,,361.04,4.05,,361.04,94.21,
,,,,,,,,361.25,-3.54,,361.25,10.34,,361.25,17.19,,361.25,201.38,
,,,,,,,,361.46,-5.13,,361.46,-10.14,,361.46,7.77,,361.46,248.49,
,,,,,,,,361.68,-3.31,,361.68,-2.63,,361.68,12.42,,361.68,45.06,
,,,,,,,,361.89,-4.81,,361.89,-5.09,,361.89,7.72,,361.89,73.04,
,,,,,,,,362.1,-8.18,,362.1,8.23,,362.1,5.25,,362.1,114.69,
,,,,,,,,362.31,-9.41,,362.31,2.22,,362.31,4.52,,362.31,275.11,
,,,,,,,,362.53,-9.32,,362.53,8.84,,362.53,5.08,,362.53,191.83,
,,,,,,,,362.74,-9.77,,362.74,7.2,,362.74,10.33,,362.74,189.78,
,,,,,,,,362.95,-7.54,,362.95,2.08,,362.95,10.92,,362.95,288.08,
,,,,,,,,363.16,-4.59,,363.16,-7.41,,363.16,3.29,,363.16,245.07,
,,,,,,,,363.38,3.88,,363.38,-9.73,,363.38,4.31,,363.38,46.42,
,,,,,,,,363.59,2.88,,363.59,-4.06,,363.59,-0.26,,363.59,66.22,
,,,,,,,,363.8,5.25,,363.8,3.65,,363.8,12.16,,363.8,284.67,
,,,,,,,,364.01,4.02,,364.01,9.52,,364.01,6.06,,364.01,318.8,
,,,,,,,,364.22,6.06,,364.22,11.02,,364.22,15.49,,364.22,75.09,
,,,,,,,,364.44,-0.99,,364.44,10.75,,364.44,12.03,,364.44,63.49,
,,,,,,,,364.65,-2.67,,364.65,13.41,,364.65,18.56,,364.65,157.01,
,,,,,,,,364.86,-6.63,,364.86,7.27,,364.86,5.21,,364.86,238.93,
,,,,,,,,365.07,-7.91,,365.07,2.42,,365.07,1.54,,365.07,11.61,
,,,,,,,,365.29,-5.45,,365.29,5.56,,365.29,0.09,,365.29,200.7,
,,,,,,,,365.5,-8.64,,365.5,7.27,,365.5,11.26,,365.5,281.94,
,,,,,,,,365.71,-6.18,,365.71,10.82,,365.71,15.96,,365.71,380.24,
,,,,,,,,365.92,-5.81,,365.92,15.19,,365.92,10.2,,365.92,130.39,
,,,,,,,,366.13,-6.27,,366.13,15.46,,366.13,6.61,,366.13,63.49,
,,,,,,,,366.35,-6.27,,366.35,14.92,,366.35,4.44,,366.35,173.39,
,,,,,,,,366.56,-4.63,,366.56,8.36,,366.56,5.38,,366.56,109.23,
,,,,,,,,366.77,1.51,,366.77,20.58,,366.77,14.38,,366.77,124.24,
,,,,,,,,366.98,-5.09,,366.98,12.94,,366.98,6.27,,366.98,-4.78,
,,,,,,,,367.19,-5.59,,367.19,9.86,,367.19,15.96,,367.19,172.03,
,,,,,,,,367.41,-3.86,,367.41,2.97,,367.41,12.42,,367.41,102.4,
,,,,,,,,367.62,6.88,,367.62,10.27,,367.62,22.02,,367.62,33.45,
,,,,,,,,367.83,3.29,,367.83,7,,367.83,16.9,,367.83,-84.65,
,,,,,,,,368.04,-5.18,,368.04,7,,368.04,10.97,,368.04,197.97,
,,,,,,,,368.25,-13.51,,368.25,7.41,,368.25,9.22,,368.25,266.92,
,,,,,,,,368.47,-14.37,,368.47,10.96,,368.47,9.05,,368.47,277.16,
,,,,,,,,368.68,-16.6,,368.68,-1.88,,368.68,6.19,,368.68,12.97,
,,,,,,,,368.89,-14.46,,368.89,8.57,,368.89,12.84,,368.89,94.89,
,,,,,,,,369.1,-13.78,,369.1,4.95,,369.1,12.93,,369.1,71,
,,,,,,,,369.31,-2.31,,369.31,8.16,,369.31,16.43,,369.31,71.68,
,,,,,,,,369.53,-1.76,,369.53,-6.45,,369.53,3.2,,369.53,73.73,
,,,,,,,,369.74,-1.17,,369.74,-3.79,,369.74,3.24,,369.74,208.89,
,,,,,,,,369.95,-4.77,,369.95,2.42,,369.95,2.43,,369.95,289.45,
,,,,,,,,370.16,-2.81,,370.16,9.32,,370.16,10.33,,370.16,157.69,
,,,,,,,,370.37,-1.26,,370.37,8.29,,370.37,8.36,,370.37,177.49,
,,,,,,,,370.59,-1.35,,370.59,18.4,,370.59,7.98,,370.59,331.09,
,,,,,,,,370.8,-0.72,,370.8,15.46,,370.8,7.38,,370.8,368.63,
,,,,,,,,371.01,-3.27,,371.01,13.14,,371.01,4.86,,371.01,182.27,
,,,,,,,,371.22,-3.99,,371.22,8.64,,371.22,7.13,,371.22,64.85,
,,,,,,,,371.43,-9.14,,371.43,9.39,,371.43,5.12,,371.43,165.89,
,,,,,,,,371.64,-3.36,,371.64,8.84,,371.64,10.79,,371.64,108.54,
,,,,,,,,371.86,-5.5,,371.86,1.26,,371.86,8.11,,371.86,-58.71,
,,,,,,,,372.07,-4.18,,372.07,-10.75,,372.07,5.03,,372.07,-88.75,
,,,,,,,,372.28,-7.95,,372.28,3.11,,372.28,6.7,,372.28,81.92,
,,,,,,,,372.49,-9.05,,372.49,-3.38,,372.49,11.95,,372.49,135.17,
,,,,,,,,372.7,-5.68,,372.7,8.84,,372.7,21.76,,372.7,83.28,
,,,,,,,,372.91,-10.18,,372.91,5.77,,372.91,10.24,,372.91,47.79,
,,,,,,,,373.13,-3.63,,373.13,5.77,,373.13,1.28,,373.13,10.92,
,,,,,,,,373.34,-8.04,,373.34,6.18,,373.34,-5.8,,373.34,33.45,
,,,,,,,,373.55,-8.5,,373.55,1.47,,373.55,2.43,,373.55,81.92,
,,,,,,,,373.76,-17.42,,373.76,3.58,,373.76,6.78,,373.76,147.45,
,,,,,,,,373.97,-20.47,,373.97,4.88,,373.97,11.78,,373.97,107.86,
,,,,,,,,374.18,-17.51,,374.18,1.4,,374.18,8.11,,374.18,86.7,
,,,,,,,,374.4,-4.49,,374.4,19.56,,374.4,8.15,,374.4,73.73,
,,,,,,,,374.61,-3.99,,374.61,17.24,,374.61,-4.52,,374.61,82.6,
,,,,,,,,374.82,1.51,,374.82,21.67,,374.82,-0.98,,374.82,193.19,
,,,,,,,,375.03,-4.54,,375.03,11.84,,375.03,-0.77,,375.03,262.14,
,,,,,,,,375.24,-1.13,,375.24,7.27,,375.24,8.28,,375.24,213.67,
,,,,,,,,375.45,-8.91,,375.45,-2.15,,375.45,10.28,,375.45,89.43,
,,,,,,,,375.66,-10.18,,375.66,-6.59,,375.66,12.54,,375.66,127.66,
,,,,,,,,375.88,-12.64,,375.88,-4.95,,375.88,9.39,,375.88,98.3,
,,,,,,,,376.09,-13.32,,376.09,8.43,,376.09,7.04,,376.09,10.24,
,,,,,,,,376.3,-15.74,,376.3,8.43,,376.3,-1.92,,376.3,-30.04,
,,,,,,,,376.51,-10.59,,376.51,8.5,,376.51,1.24,,376.51,56.66,
,,,,,,,,376.72,-12.23,,376.72,1.88,,376.72,0.17,,376.72,114,
,,,,,,,,376.93,-10.5,,376.93,18.74,,376.93,19.37,,376.93,38.91,
,,,,,,,,377.14,-15.55,,377.14,16.14,,377.14,18.09,,377.14,49.15,
,,,,,,,,377.36,-10.77,,377.36,23.45,,377.36,26.88,,377.36,147.45,
,,,,,,,,377.57,-8.77,,377.57,10.07,,377.57,11.14,,377.57,162.47,
,,,,,,,,377.78,-7.68,,377.78,14.1,,377.78,9.81,,377.78,137.9,
,,,,,,,,377.99,-7.27,,377.99,13.07,,377.99,-0.17,,377.99,225.96,
,,,,,,,,378.2,-6.5,,378.2,8.29,,378.2,5.5,,378.2,245.76,
,,,,,,,,378.41,-8.13,,378.41,10.55,,378.41,6.27,,378.41,233.47,
,,,,,,,,378.62,-3.95,,378.62,1.19,,378.62,3.16,,378.62,40.28,
,,,,,,,,378.83,-8,,378.83,2.56,,378.83,-2.77,,378.83,37.55,
,,,,,,,,379.05,-1.63,,379.05,-9.25,,379.05,-4.78,,379.05,64.17,
,,,,,,,,379.26,-8.91,,379.26,-6.72,,379.26,2.3,,379.26,94.89,
,,,,,,,,379.47,-9.64,,379.47,-10.14,,379.47,0.81,,379.47,19.11,
,,,,,,,,379.68,-11.68,,379.68,4.74,,379.68,0.04,,379.68,-20.48,
,,,,,,,,379.89,-3.04,,379.89,9.45,,379.89,-7.25,,379.89,62.8,
,,,,,,,,380.1,1.42,,380.1,12.53,,380.1,-5.46,,380.1,27.31,
,,,,,,,,380.31,8.11,,380.31,3.17,,380.31,0,,380.31,114,
,,,,,,,,380.52,-3.58,,380.52,-8.64,,380.52,-0.34,,380.52,104.45,
,,,,,,,,380.74,-3.95,,380.74,-6.86,,380.74,3.07,,380.74,283.98,
,,,,,,,,380.95,-12.91,,380.95,3.31,,380.95,-3.46,,380.95,242.34,
,,,,,,,,381.16,-6.13,,381.16,8.98,,381.16,-1.24,,381.16,45.74,
,,,,,,,,381.37,-12.37,,381.37,14.78,,381.37,-4.05,,381.37,-25.94,
,,,,,,,,381.58,-13.41,,381.58,0.1,,381.58,-5.5,,381.58,-48.47,
,,,,,,,,381.79,-15.6,,381.79,-11.57,,381.79,-12.5,,381.79,-8.87,
,,,,,,,,382,-4.72,,382,-14.71,,382,-8.87,,382,-88.06,
,,,,,,,,382.21,1.56,,382.21,-4.27,,382.21,0.81,,382.21,56.66,
,,,,,,,,382.42,5.15,,382.42,8.09,,382.42,11.26,,382.42,230.74,
,,,,,,,,382.63,-3.22,,382.63,9.73,,382.63,9.64,,382.63,433.49,
,,,,,,,,382.85,-5.9,,382.85,13,,382.85,9.05,,382.85,329.04,
,,,,,,,,383.06,-11.73,,383.06,12.32,,383.06,5.76,,383.06,133.8,
,,,,,,,,383.27,-5.22,,383.27,11.37,,383.27,1.71,,383.27,42.32,
,,,,,,,,383.48,-9.5,,383.48,9.05,,383.48,-11.78,,383.48,14.34,
,,,,,,,,383.69,0.88,,383.69,12.19,,383.69,-5.33,,383.69,116.05,
,,,,,,,,383.9,-1.95,,383.9,7.54,,383.9,5.46,,383.9,262.14,
,,,,,,,,384.11,11.57,,384.11,11.23,,384.11,10.41,,384.11,242.34,
,,,,,,,,384.32,4.97,,384.32,8.16,,384.32,6.19,,384.32,271.7,
,,,,,,,,384.53,1.33,,384.53,14.57,,384.53,5.46,,384.53,73.04,
,,,,,,,,384.74,-12.5,,384.74,13.14,,384.74,10.45,,384.74,120.15,
,,,,,,,,384.95,-11.78,,384.95,11.57,,384.95,15.23,,384.95,201.38,
,,,,,,,,385.17,-13.82,,385.17,1.88,,385.17,1.88,,385.17,67.58,
,,,,,,,,385.38,-6.36,,385.38,3.86,,385.38,9.81,,385.38,66.9,
,,,,,,,,385.59,-9.09,,385.59,2.63,,385.59,2.52,,385.59,10.92,
,,,,,,,,385.8,-1.44,,385.8,5.36,,385.8,7.64,,385.8,110.59,
,,,,,,,,386.01,-6.5,,386.01,-7.54,,386.01,-3.8,,386.01,65.53,
,,,,,,,,386.22,0.88,,386.22,7.75,,386.22,6.23,,386.22,-17.75,
,,,,,,,,386.43,-5.9,,386.43,19.63,,386.43,7.77,,386.43,267.6,
,,,,,,,,386.64,-3.08,,386.64,32.8,,386.64,13.35,,386.64,269.65,
,,,,,,,,386.85,-13.78,,386.85,22.97,,386.85,8.53,,386.85,337.23,
,,,,,,,,387.06,-13.1,,387.06,14.78,,387.06,11.56,,387.06,0.68,
,,,,,,,,387.27,-16.78,,387.27,10.14,,387.27,7.17,,387.27,118.78,
,,,,,,,,387.48,-8.36,,387.48,13.76,,387.48,5.25,,387.48,169.98,
,,,,,,,,387.69,-5.86,,387.69,12.05,,387.69,4.91,,387.69,263.51,
,,,,,,,,387.9,-9.45,,387.9,18.06,,387.9,12.29,,387.9,204.11,
,,,,,,,,388.12,-14.32,,388.12,11.91,,388.12,11.01,,388.12,197.29,
,,,,,,,,388.33,-14.78,,388.33,15.19,,388.33,13.99,,388.33,283.98,
,,,,,,,,388.54,-0.99,,388.54,10.96,,388.54,7.51,,388.54,409.59,
,,,,,,,,388.75,2.97,,388.75,17.1,,388.75,18.69,,388.75,271.7,
,,,,,,,,388.96,-0.72,,388.96,9.39,,388.96,13.91,,388.96,320.85,
,,,,,,,,389.17,-2.36,,389.17,7.48,,389.17,18.6,,389.17,231.42,
,,,,,,,,389.38,-9.05,,389.38,-11.98,,389.38,3.71,,389.38,223.23,
,,,,,,,,389.59,-2.54,,389.59,-20.99,,389.59,0.51,,389.59,6.14,
,,,,,,,,389.8,-11.87,,389.8,-24.27,,389.8,-3.07,,389.8,47.79,
,,,,,,,,390.01,-7.13,,390.01,-4.47,,390.01,4.39,,390.01,121.51,
,,,,,,,,390.22,-19.69,,390.22,7.07,,390.22,10.92,,390.22,221.86,
,,,,,,,,390.43,-12.82,,390.43,17.44,,390.43,14.38,,390.43,70.31,
,,,,,,,,390.64,-14.69,,390.64,17.03,,390.64,14.55,,390.64,236.2,
,,,,,,,,390.85,1.33,,390.85,7.34,,390.85,4.48,,390.85,260.77,
,,,,,,,,391.06,-3.63,,391.06,-2.49,,391.06,3.2,,391.06,301.73,
,,,,,,,,391.27,-0.67,,391.27,-11.37,,391.27,3.07,,391.27,55.3,
,,,,,,,,391.48,-11,,391.48,1.06,,391.48,11.52,,391.48,49.15,
,,,,,,,,391.69,-5.09,,391.69,-0.44,,391.69,11.39,,391.69,126.29,
,,,,,,,,391.9,-7.59,,391.9,1.67,,391.9,6.61,,391.9,186.37,
,,,,,,,,392.11,0.24,,392.11,6.11,,392.11,6.44,,392.11,152.23,
,,,,,,,,392.32,-1.67,,392.32,1.26,,392.32,0.6,,392.32,157.69,
,,,,,,,,392.54,4.79,,392.54,1.54,,392.54,10.07,,392.54,314.7,
,,,,,,,,392.75,-2.31,,392.75,11.71,,392.75,15.83,,392.75,297.64,
,,,,,,,,392.96,-1.99,,392.96,8.5,,392.96,14.21,,392.96,84.65,
,,,,,,,,393.17,-10.46,,393.17,10,,393.17,10.15,,393.17,27.99,
,,,,,,,,393.38,-4.9,,393.38,6.72,,393.38,11.43,,393.38,224.59,
,,,,,,,,393.59,-12.14,,393.59,29.46,,393.59,15.45,,393.59,410.96,
,,,,,,,,393.8,-5.81,,393.8,29.59,,393.8,19.88,,393.8,277.84,
,,,,,,,,394.01,-17.28,,394.01,22.56,,394.01,17.71,,394.01,262.82,
,,,,,,,,394.22,-13.1,,394.22,11.71,,394.22,23.47,,394.22,236.88,
,,,,,,,,394.43,-14.96,,394.43,7.75,,394.43,6.06,,394.43,169.98,
,,,,,,,,394.64,0.47,,394.64,4.81,,394.64,4.1,,394.64,27.99,
,,,,,,,,394.85,-3.95,,394.85,11.84,,394.85,0.85,,394.85,128.34,
,,,,,,,,395.06,-2.95,,395.06,14.71,,395.06,8.58,,395.06,195.92,
,,,,,,,,395.27,-8.73,,395.27,14.17,,395.27,7.17,,395.27,111.96,
,,,,,,,,395.48,3.02,,395.48,11.09,,395.48,5.5,,395.48,-93.52,
,,,,,,,,395.69,-4.72,,395.69,2.63,,395.69,8.79,,395.69,-37.55,
,,,,,,,,395.9,-6.18,,395.9,-0.24,,395.9,10.03,,395.9,43.01,
,,,,,,,,396.11,-18.06,,396.11,-5.29,,396.11,7.89,,396.11,154.28,
,,,,,,,,396.32,-9.82,,396.32,6.45,,396.32,14.51,,396.32,138.58,
,,,,,,,,396.53,-11.91,,396.53,10.89,,396.53,8.66,,396.53,182.95,
,,,,,,,,396.74,-5.77,,396.74,15.6,,396.74,18.13,,396.74,376.14,
,,,,,,,,396.95,-14.42,,396.95,4.33,,396.95,-1.15,,396.95,296.27,
,,,,,,,,397.16,-8.27,,397.16,3.86,,397.16,6.95,,397.16,371.36,
,,,,,,,,397.37,-14.64,,397.37,-7.75,,397.37,-1.96,,397.37,171.35,
,,,,,,,,397.58,-3.22,,397.58,7.41,,397.58,18.05,,397.58,359.76,
,,,,,,,,397.79,-7.86,,397.79,-2.15,,397.79,11.86,,397.79,103.76,
,,,,,,,,398,0.33,,398,10.75,,398,26.41,,398,18.43,
,,,,,,,,398.21,-10.32,,398.21,-7.13,,398.21,11.14,,398.21,-148.82,
,,,,,,,,398.42,-10.36,,398.42,-0.99,,398.42,11.26,,398.42,-10.92,
,,,,,,,,398.63,-17.65,,398.63,-7.75,,398.63,-4.91,,398.63,9.56,
,,,,,,,,398.84,-18.51,,398.84,5.5,,398.84,4.86,,398.84,159.06,
,,,,,,,,399.05,-14.69,,399.05,8.77,,399.05,10.5,,399.05,334.5,
,,,,,,,,399.26,-8,,399.26,15.74,,399.26,23.08,,399.26,458.74,
,,,,,,,,399.47,-4.68,,399.47,14.23,,399.47,16.73,,399.47,309.24,
,,,,,,,,399.68,-7.91,,399.68,7.41,,399.68,8.83,,399.68,79.19,
,,,,,,,,399.89,-12.28,,399.89,-3.45,,399.89,0.09,,399.89,47.1,
,,,,,,,,400.1,-12.6,,400.1,-2.36,,400.1,5.33,,400.1,70.31,
,,,,,,,,400.31,-9.96,,400.31,3.38,,400.31,2.26,,400.31,111.96,
,,,,,,,,400.52,-4.36,,400.52,10.62,,400.52,4.48,,400.52,58.03,
,,,,,,,,400.73,-2.49,,400.73,8.91,,400.73,3.33,,400.73,111.27,
,,,,,,,,400.94,-2.72,,400.94,10.82,,400.94,5.12,,400.94,157.01,
,,,,,,,,401.15,-8.27,,401.15,19.76,,401.15,1.02,,401.15,228.69,
,,,,,,,,401.36,-9.73,,401.36,28.02,,401.36,9.13,,401.36,180.9,
,,,,,,,,401.57,-18.06,,401.57,18.4,,401.57,10.79,,401.57,189.1,
,,,,,,,,401.77,-13.73,,401.77,8.43,,401.77,13.23,,401.77,155.65,
,,,,,,,,401.98,-11.41,,401.98,-6.38,,401.98,5.67,,401.98,105.13,
,,,,,,,,402.19,-0.9,,402.19,1.6,,402.19,10.58,,402.19,200.02,
,,,,,,,,402.4,-6.95,,402.4,-5.84,,402.4,7.13,,402.4,226.64,
,,,,,,,,402.61,-11.5,,402.61,1.74,,402.61,10.2,,402.61,244.39,
,,,,,,,,402.82,-20.47,,402.82,-8.91,,402.82,-0.43,,402.82,27.99,
,,,,,,,,403.03,-20.51,,403.03,-14.51,,403.03,-0.09,,403.03,-124.24,
,,,,,,,,403.24,-21.52,,403.24,-22.02,,403.24,-9.22,,403.24,-88.06,
,,,,,,,,403.45,-11.73,,403.45,-10.27,,403.45,1.15,,403.45,27.99,
,,,,,,,,403.66,-3.95,,403.66,-3.99,,403.66,1.02,,403.66,96.94,
,,,,,,,,403.87,-2.26,,403.87,15.6,,403.87,6.57,,403.87,113.32,
,,,,,,,,404.08,-5.18,,404.08,19.42,,404.08,5.63,,404.08,124.24,
,,,,,,,,404.29,-9.14,,404.29,28.43,,404.29,13.18,,404.29,206.16,
,,,,,,,,404.5,-8.73,,404.5,12.66,,404.5,11.73,,404.5,161.79,
,,,,,,,,404.71,-11.09,,404.71,15.53,,404.71,13.1,,404.71,28.67,
,,,,,,,,404.92,-14.69,,404.92,15.26,,404.92,14.34,,404.92,105.13,
,,,,,,,,405.13,-10.27,,405.13,23.79,,405.13,20.18,,405.13,172.03,
,,,,,,,,405.34,-12.37,,405.34,13.21,,405.34,14.55,,405.34,136.53,
,,,,,,,,405.55,-10.87,,405.55,-0.17,,405.55,9.86,,405.55,-57.34,
,,,,,,,,405.76,-13.19,,405.76,-2.7,,405.76,5.33,,405.76,-4.1,
,,,,,,,,405.97,-7.41,,405.97,-2.83,,405.97,2.9,,405.97,135.17,
,,,,,,,,406.17,-8.13,,406.17,10.48,,406.17,2.09,,406.17,258.73,
,,,,,,,,406.38,-5.36,,406.38,9.32,,406.38,3.07,,406.38,176.81,
,,,,,,,,406.59,-9.68,,406.59,6.18,,406.59,-1.41,,406.59,29.35,
,,,,,,,,406.8,-4.13,,406.8,7.95,,406.8,-0.73,,406.8,-8.19,
,,,,,,,,407.01,-8.77,,407.01,0.51,,407.01,-11.14,,407.01,-20.48,
,,,,,,,,407.22,-6.45,,407.22,4.47,,407.22,-6.06,,407.22,50.52,
,,,,,,,,407.43,-12.37,,407.43,-2.97,,407.43,-18.77,,407.43,111.96,
,,,,,,,,407.64,-6.36,,407.64,-3.31,,407.64,-12.5,,407.64,84.65,
,,,,,,,,407.85,-7,,407.85,-6.38,,407.85,-11.48,,407.85,55.3,
,,,,,,,,408.06,-0.08,,408.06,-9.25,,408.06,-2.18,,408.06,-158.38,
,,,,,,,,408.27,-11.73,,408.27,-11.02,,408.27,-5.8,,408.27,-121.51,
,,,,,,,,408.48,-8.59,,408.48,-6.72,,408.48,-3.84,,408.48,-74.41,
,,,,,,,,408.69,-15.28,,408.69,-6.18,,408.69,-3.46,,408.69,-78.51,
,,,,,,,,408.89,-9.36,,408.89,5.29,,408.89,9.86,,408.89,-8.19,
,,,,,,,,409.1,-14.28,,409.1,-6.31,,409.1,7.38,,409.1,26.62,
,,,,,,,,409.31,-6.91,,409.31,2.42,,409.31,10.03,,409.31,66.9,
,,,,,,,,409.52,-5.81,,409.52,-1.13,,409.52,-1.49,,409.52,31.4,
,,,,,,,,409.73,-4.81,,409.73,20.86,,409.73,-0.68,,409.73,90.79,
,,,,,,,,409.94,-13.1,,409.94,14.1,,409.94,-4.1,,409.94,285.35,
,,,,,,,,410.15,-8.73,,410.15,16.55,,410.15,6.61,,410.15,337.23,
,,,,,,,,410.36,-10.73,,410.36,-1.74,,410.36,3.07,,410.36,148.82,
,,,,,,,,410.57,-1.04,,410.57,6.66,,410.57,8.32,,410.57,-25.94,
,,,,,,,,410.78,-7.63,,410.78,-3.52,,410.78,6.66,,410.78,-97.62,
,,,,,,,,410.99,-2.26,,410.99,0.58,,410.99,14.12,,410.99,40.28,
,,,,,,,,411.19,-11.37,,411.19,-2.97,,411.19,8.06,,411.19,138.58,
,,,,,,,,411.4,-3.81,,411.4,9.93,,411.4,2.39,,411.4,38.91,
,,,,,,,,411.61,-9.59,,411.61,4.33,,411.61,2.94,,411.61,154.96,
,,,,,,,,411.82,-2.13,,411.82,6.11,,411.82,12.25,,411.82,250.53,
,,,,,,,,412.03,-6.68,,412.03,-3.79,,412.03,17.19,,412.03,415.06,
,,,,,,,,412.24,-6.5,,412.24,2.63,,412.24,17.92,,412.24,200.7,
,,,,,,,,412.45,-14.83,,412.45,-9.73,,412.45,14.81,,412.45,92.16,
,,,,,,,,412.66,-9.73,,412.66,-6.25,,412.66,21.12,,412.66,107.86,
,,,,,,,,412.87,-9,,412.87,1.19,,412.87,22.74,,412.87,128.34,
,,,,,,,,413.08,-3.22,,413.08,7.07,,413.08,23.76,,413.08,58.71,
,,,,,,,,413.28,-12.19,,413.28,0.38,,413.28,12.54,,413.28,37.55,
,,,,,,,,413.49,-4.72,,413.49,-1.81,,413.49,7.3,,413.49,233.47,
,,,,,,,,413.7,-3.77,,413.7,-5.84,,413.7,3.29,,413.7,187.05,
,,,,,,,,413.91,5.38,,413.91,1.67,,413.91,3.24,,413.91,75.77,
,,,,,,,,414.12,1.01,,414.12,2.76,,414.12,-1.79,,414.12,-28.67,
,,,,,,,,414.33,-2.99,,414.33,7.54,,414.33,3.11,,414.33,144.72,
,,,,,,,,414.54,-15.19,,414.54,12.25,,414.54,5.08,,414.54,221.18,
,,,,,,,,414.75,-12.64,,414.75,5.02,,414.75,4.61,,414.75,106.49,
,,,,,,,,414.95,-9.45,,414.95,2.42,,414.95,-6.91,,414.95,59.39,
,,,,,,,,415.16,-5.68,,415.16,-4.95,,415.16,-6.78,,415.16,122.88,
,,,,,,,,415.37,-9.09,,415.37,3.58,,415.37,4.91,,415.37,343.38,
,,,,,,,,415.58,-15.92,,415.58,5.9,,415.58,11.48,,415.58,262.82,
,,,,,,,,415.79,-11.59,,415.79,17.85,,415.79,11.01,,415.79,240.98,
,,,,,,,,416,-8.64,,416,20.45,,416,11.61,,416,308.56,
,,,,,,,,416.21,-0.31,,416.21,30,,416.21,13.4,,416.21,450.55,
,,,,,,,,416.42,-0.49,,416.42,15.8,,416.42,17.49,,416.42,404.13,
,,,,,,,,416.62,-3.04,,416.62,3.11,,416.62,14.29,,416.62,355.66,
,,,,,,,,416.83,-2.36,,416.83,8.29,,416.83,19.75,,416.83,331.09,
,,,,,,,,417.04,-4.31,,417.04,13.41,,417.04,18.35,,417.04,413.69,
,,,,,,,,417.25,-8.41,,417.25,19.69,,417.25,20.22,,417.25,192.51,
,,,,,,,,417.46,-10.59,,417.46,5.43,,417.46,14.46,,417.46,195.24,
,,,,,,,,417.67,-8.23,,417.67,6.59,,417.67,18.6,,417.67,124.93,
,,,,,,,,417.88,-3.9,,417.88,11.02,,417.88,11.56,,417.88,225.96,
,,,,,,,,418.08,-8.27,,418.08,9.59,,418.08,5.89,,418.08,49.15,
,,,,,,,,418.29,-4.63,,418.29,0.38,,418.29,-4.69,,418.29,80.55,
,,,,,,,,418.5,-4.45,,418.5,-7.82,,418.5,0,,418.5,147.45,
,,,,,,,,418.71,-8.45,,418.71,-5.09,,418.71,7.13,,418.71,271.7,
,,,,,,,,418.92,-17.42,,418.92,-5.7,,418.92,9.73,,418.92,141.99,
,,,,,,,,419.13,-19.83,,419.13,-5.09,,419.13,1.07,,419.13,-19.8,
,,,,,,,,419.34,-9.82,,419.34,-9.59,,419.34,-7.59,,419.34,-9.56,
,,,,,,,,419.54,-5.54,,419.54,-1.95,,419.54,-10.37,,419.54,82.6,
,,,,,,,,419.75,-6.31,,419.75,5.9,,419.75,4.01,,419.75,68.27,
,,,,,,,,419.96,-14.19,,419.96,7.48,,419.96,8.06,,419.96,29.35,
,,,,,,,,420.17,-12.91,,420.17,3.65,,420.17,12.93,,420.17,73.73,
,,,,,,,,420.38,-11.73,,420.38,-3.93,,420.38,5.93,,420.38,202.75,
,,,,,,,,420.59,-10.18,,420.59,-3.58,,420.59,7.72,,420.59,157.69,
,,,,,,,,420.79,-9.23,,420.79,2.42,,420.79,-2.6,,420.79,186.37,
,,,,,,,,421,-6.45,,421,14.23,,421,0.09,,421,230.06,
,,,,,,,,421.21,-3.58,,421.21,21.74,,421.21,-4.39,,421.21,251.9,
,,,,,,,,421.42,-0.03,,421.42,15.19,,421.42,4.82,,421.42,96.25,
,,,,,,,,421.63,-3.54,,421.63,0.92,,421.63,1.62,,421.63,107.86,
,,,,,,,,421.84,-7.54,,421.84,-7.82,,421.84,10.2,,421.84,156.33,
,,,,,,,,422.04,-13.51,,422.04,-6.11,,422.04,11.01,,422.04,251.9,
,,,,,,,,422.25,-6.54,,422.25,-3.52,,422.25,17.75,,422.25,176.81,
,,,,,,,,422.46,-2.58,,422.46,-8.36,,422.46,11.73,,422.46,206.84,
,,,,,,,,422.67,3.06,,422.67,-9.18,,422.67,13.78,,422.67,243.03,
,,,,,,,,422.88,-1.04,,422.88,-4.27,,422.88,9.56,,422.88,288.76,
,,,,,,,,423.08,0.65,,423.08,6.04,,423.08,16.43,,423.08,276.48,
,,,,,,,,423.29,-4.27,,423.29,12.12,,423.29,17.19,,423.29,312.66,
,,,,,,,,423.5,1.7,,423.5,0.79,,423.5,14.34,,423.5,214.35,
