Colors,V,dV,Peak wavelength,d l,pv/e 1,pv/e 2,sigma,BlueWave,Blue_I,Peak v/e Blue,OrangeWave,Orange_I,Peak v/e Orange,RedWave,Red_I,Peak v/e Red,YellowWave,Yellow_I,Peak v/e Yellow
,,,,,,,,185.35,-4.9,,185.35,-1.54,,185.35,-2.73,,185.35,-152.23,
,,,,,,,,185.57,-5.27,,185.57,-4.33,,185.57,-0.77,,185.57,-240.98,
,,,,,,,,185.79,-2.54,,185.79,-13.69,,185.79,-3.11,,185.79,-344.74,
,,,,,,,,186.02,4.11,,186.02,-12.73,,186.02,-4.61,,186.02,-232.79,
,,,,,,,,186.24,4.15,,186.24,1.47,,186.24,-1.19,,186.24,-8.87,
,,,,,,,,186.46,1.38,,186.46,32.73,,186.46,22.95,,186.46,126.29,
,,,,,,,,186.68,8.2,,186.68,28.91,,186.68,30.21,,186.68,141.99,
,,,,,,,,186.91,9.8,,186.91,29.32,,186.91,27.05,,186.91,-6.83,
,,,,,,,,187.13,2.01,,187.13,4.54,,187.13,9.34,,187.13,8.19,
,,,,,,,,187.35,-3.58,,187.35,6.66,,187.35,8.49,,187.35,2.73,
,,,,,,,,187.58,-9.68,,187.58,-3.11,,187.58,-2.86,,187.58,30.72,
,,,,,,,,187.8,-8.32,,187.8,2.15,,187.8,-0.43,,187.8,-36.18,
,,,,,,,,188.02,-14.42,,188.02,8.02,,188.02,1.11,,188.02,-10.92,
,,,,,,,,188.25,-4.86,,188.25,11.09,,188.25,4.05,,188.25,-52.56,
,,,,,,,,188.47,-3.13,,188.47,7.34,,188.47,9.13,,188.47,98.99,
,,,,,,,,188.69,3.97,,188.69,8.02,,188.69,13.7,,188.69,5.46,
,,,,,,,,188.92,2.47,,188.92,0.72,,188.92,14.21,,188.92,36.18,
,,,,,,,,189.14,-0.44,,189.14,8.16,,189.14,12.46,,189.14,33.45,
,,,,,,,,189.36,-11.23,,189.36,-4.61,,189.36,2.39,,189.36,76.46,
,,,,,,,,189.59,-14.64,,189.59,9.73,,189.59,5.93,,189.59,146.77,
,,,,,,,,189.81,-5.81,,189.81,4.61,,189.81,2.77,,189.81,138.58,
,,,,,,,,190.03,6.34,,190.03,10.68,,190.03,3.88,,190.03,208.89,
,,,,,,,,190.26,7.52,,190.26,-3.52,,190.26,7.38,,190.26,83.28,
,,,,,,,,190.48,5.2,,190.48,-1.74,,190.48,4.74,,190.48,-64.85,
,,,,,,,,190.7,-2.26,,190.7,8.09,,190.7,10.41,,190.7,-75.09,
