,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Incandescent,,,,Fluorescent,,,,Halogen,,,,Hydrogen,,,,Helium,,,,LED,,,,Green Laser,,,,Red Laser,,,,Green Laser Again,,
,,Wavelength,Intensity,I/L,,Wavelength,Intensity,I/L,,Wavelength,Intensity,I/L,,Wavelength,Intensity,I/L,,Wavelength,Intensity,I/L,,Wavelength,Intensity,I/L,,Wavelength,Intensity,I/L,,Wavelength,Intensity,I/L,,Wavelength,Intensity,I/L
,,175.06,27.53,0.157260367873872,,175.06,3.83,0.0218782131840512,,175.06,-83.8,-0.478693019536159,,175.06,-58.88,-0.336341825659774,,175.06,-4.24,-0.0242202673369131,,175.06,-66.99,-0.382668799268822,,175.06,4.03,0.0230206786244716,,175.06,4.03,0.0230206786244716,,175.06,3.21,0.0183365703187479
,,175.28,22.3,0.127225011410315,,175.28,9.14,0.0521451392058421,,175.28,-152.74,-0.871405750798722,,175.28,-133.56,-0.761980830670927,,175.28,-2.76,-0.0157462345960749,,175.28,-129.62,-0.739502510269283,,175.28,-12.36,-0.0705157462345961,,175.28,-12.36,-0.0705157462345961,,175.28,4.57,0.026072569602921
,,175.51,44.83,0.255427041194234,,175.51,1.59,0.00905931285966612,,175.51,17.92,0.102102444305168,,175.51,2.83,0.0161244373539969,,175.51,-1.64,-0.00934419691185687,,175.51,19.03,0.108426870263803,,175.51,1.98,0.011281408466754,,175.51,1.98,0.011281408466754,,175.51,8.81,0.0501965699960116
,,175.73,30.72,0.174813634553007,,175.73,7.17,0.040801229158368,,175.73,-42.15,-0.239856598190406,,175.73,-36.21,-0.206054743071758,,175.73,3.05,0.0173561713993058,,175.73,-33.71,-0.191828373072327,,175.73,-4.57,-0.0260058043589598,,175.73,-4.57,-0.0260058043589598,,175.73,17.68,0.100608888635976
,,175.95,38.23,0.217277635691958,,175.95,2.86,0.0162546177891446,,175.95,-3.17,-0.0180164819551009,,175.95,-2.76,-0.0156862745098039,,175.95,-0.44,-0.00250071042909918,,175.95,10.84,0.0616084114805342,,175.95,5.26,0.029894856493322,,175.95,5.26,0.029894856493322,,175.95,8.81,0.0500710429099176
,,176.18,25.03,0.142070609603814,,176.18,5.49,0.0311613122942445,,176.18,-124.38,-0.705982517879441,,176.18,-97.79,-0.555057327733,,176.18,2.22,0.0126007492337382,,176.18,-90.71,-0.514871154501078,,176.18,-13.04,-0.0740152117152912,,176.18,-13.04,-0.0740152117152912,,176.18,2.8,0.0158928368713815
,,176.4,10.47,0.0593537414965986,,176.4,-2.31,-0.0130952380952381,,176.4,-126.2,-0.715419501133787,,176.4,-107.89,-0.611621315192744,,176.4,-2.68,-0.0151927437641723,,176.4,-94.8,-0.537414965986395,,176.4,-9.08,-0.0514739229024943,,176.4,-9.08,-0.0514739229024943,,176.4,-1.3,-0.00736961451247166
,,176.63,-0.68,-0.00384985563041386,,176.63,0.44,0.00249108305497367,,176.63,-237.92,-1.34699654645304,,176.63,-178.48,-1.01047387193568,,176.63,1.19,0.00673724735322425,,176.63,-186.79,-1.0575213723603,,176.63,-34.34,-0.1944177093359,,176.63,-34.34,-0.1944177093359,,176.63,7.85,0.0444431863216894
,,176.85,-13.43,-0.0759400621996042,,176.85,-3.64,-0.0205824144755442,,176.85,-294.13,-1.66316087079446,,176.85,-230.5,-1.30336443313543,,176.85,-6.02,-0.0340401470172463,,176.85,-228.95,-1.29459994345491,,176.85,-22.46,-0.127000282725474,,176.85,-22.46,-0.127000282725474,,176.85,1.16,0.0065592309867119
,,177.07,10.69,0.0603716044502174,,177.07,2.25,0.0127068391031795,,177.07,-298.98,-1.6884847800305,,177.07,-240.33,-1.35725984074095,,177.07,-4.78,-0.0269949737391992,,177.07,-240.38,-1.35754221494324,,177.07,-16.59,-0.0936917603207771,,177.07,-16.59,-0.0936917603207771,,177.07,10.31,0.0582255605127916
,,177.3,28.67,0.161703327693175,,177.3,0.05,0.000282007896221094,,177.3,-130.29,-0.734856175972927,,177.3,-126.19,-0.711731528482798,,177.3,-8.48,-0.0478285391990976,,177.3,-120.06,-0.677157360406091,,177.3,-5.94,-0.033502538071066,,177.3,-5.94,-0.033502538071066,,177.3,13.58,0.0765933446136492
,,177.52,46.65,0.262787291572781,,177.52,4.71,0.0265322217214962,,177.52,-75.91,-0.427613789995493,,177.52,-70.89,-0.399335286164939,,177.52,-3.13,-0.0176318161333934,,177.52,-78.42,-0.441753041910771,,177.52,-2.66,-0.0149842271293375,,177.52,-2.66,-0.0149842271293375,,177.52,20.55,0.115761604326273
,,177.74,37.09,0.208675593563632,,177.74,-0.77,-0.00433217058624958,,177.74,-18.49,-0.104028356025655,,177.74,-46.86,-0.263643524248903,,177.74,-2.29,-0.0128839878474176,,177.74,-43.78,-0.246314841903905,,177.74,-14.13,-0.079498143355463,,177.74,-14.13,-0.079498143355463,,177.74,-0.2,-0.00112523911331158
,,177.97,49.61,0.278754846322414,,177.97,4.09,0.0229814013597797,,177.97,28.84,0.162049783671405,,177.97,-20.24,-0.113727032645952,,177.97,2.02,0.0113502275664438,,177.97,2.82,0.0158453671967185,,177.97,-8.53,-0.0479294263078047,,177.97,-8.53,-0.0479294263078047,,177.97,4.03,0.0226442658875091
,,178.19,47.1,0.264324597339918,,178.19,2.8,0.0157135641730737,,178.19,88.31,0.495594590044335,,178.19,9.25,0.0519108816431899,,178.19,-2.76,-0.0154890846848869,,178.19,44.46,0.249508951119591,,178.19,-10.72,-0.0601605028340535,,178.19,-10.72,-0.0601605028340535,,178.19,2.39,0.0134126494191593
,,178.42,30.49,0.170888913798901,,178.42,5.57,0.031218473265329,,178.42,-14.7,-0.0823898666068826,,178.42,-31.16,-0.17464409819527,,178.42,-4.1,-0.0229794866046407,,178.42,-8.45,-0.0473601614168815,,178.42,-10.72,-0.0600829503418899,,178.42,-10.72,-0.0600829503418899,,178.42,4.71,0.0263983858311848
,,178.64,26.4,0.147783251231527,,178.64,4.2,0.0235109717868339,,178.64,1.38,0.00772503358710255,,178.64,-24.61,-0.137763098969996,,178.64,-5.67,-0.0317398119122257,,178.64,-13.91,-0.0778660994178236,,178.64,-5.67,-0.0317398119122257,,178.64,-5.67,-0.0317398119122257,,178.64,-1.02,-0.00570980743394536
,,178.86,32.08,0.179358157217936,,178.86,7.17,0.0400872190540087,,178.86,-86.15,-0.481661634798166,,178.86,-84.96,-0.475008386447501,,178.86,3.21,0.0179469976517947,,178.86,-71.25,-0.398356256289836,,178.86,-13.18,-0.0736889187073689,,178.86,-13.18,-0.0736889187073689,,178.86,1.16,0.00648551940064855
,,179.09,43.46,0.242671282595343,,179.09,6.47,0.0361270869395276,,179.09,42.34,0.236417443743369,,179.09,-22.15,-0.123680830867162,,179.09,7.35,0.0410408174660785,,179.09,21.08,0.117706181249651,,179.09,-9.63,-0.0537718465575967,,179.09,-9.63,-0.0537718465575967,,179.09,-5.39,-0.0300965994751242
,,179.31,39.82,0.222073503987508,,179.31,6,0.0334616028107746,,179.31,5.48,0.0305615972338408,,179.31,-35.81,-0.199709999442307,,179.31,9.64,0.0537616418493112,,179.31,-5.21,-0.029055825107356,,179.31,-15.5,-0.0864424739278345,,179.31,-15.5,-0.0864424739278345,,179.31,-16.73,-0.0933021025040433
,,179.53,12.06,0.0671754024397037,,179.53,-2.51,-0.0139809502590096,,179.53,-42.68,-0.237731855400212,,179.53,-59.15,-0.329471397538016,,179.53,2.03,0.011307302400713,,179.53,-41.56,-0.231493343730853,,179.53,-23.55,-0.13117584804768,,179.53,-23.55,-0.13117584804768,,179.53,-26.28,-0.146382220241742
,,179.76,11.38,0.0633066310636404,,179.76,3.07,0.0170783266577659,,179.76,57.36,0.319092122830441,,179.76,14.57,0.0810525144637294,,179.76,0.73,0.00406097018246551,,179.76,26.03,0.144804183355585,,179.76,-5.39,-0.0299844236760125,,179.76,-5.39,-0.0299844236760125,,179.76,-16.32,-0.0907877169559413
,,179.98,17.29,0.0960662295810646,,179.98,0.03,0.000166685187243027,,179.98,71.55,0.397544171574619,,179.98,19.76,0.109789976664074,,179.98,1.19,0.00661184576064007,,179.98,43.78,0.243249249916657,,179.98,-8.81,-0.0489498833203689,,179.98,-8.81,-0.0489498833203689,,179.98,-17.13,-0.0951772419157684
,,180.21,40.73,0.226014094667333,,180.21,10.46,0.0580433938183231,,180.21,170.76,0.947561178624938,,180.21,87.35,0.484712280117641,,180.21,3.76,0.0208645469174852,,180.21,114.6,0.635924754453138,,180.21,0.89,0.00493868264802175,,180.21,0.89,0.00493868264802175,,180.21,-4.3,-0.0238610509960602
,,180.43,36.18,0.200520977664468,,180.43,5.65,0.0313140830238874,,180.43,-61.88,-0.34295848805631,,180.43,-66.66,-0.369450756526077,,180.43,-0.59,-0.00326996619187497,,180.43,-36.27,-0.201019786066619,,180.43,-30.11,-0.166879122097212,,180.43,-30.11,-0.166879122097212,,180.43,-1.16,-0.00642908607216095
,,180.65,32.31,0.178854137835594,,180.65,12.71,0.0703570440077498,,180.65,-50.42,-0.279103238306117,,180.65,-74.44,-0.412067533905342,,180.65,-3.06,-0.0169388319955715,,180.65,-26.88,-0.148796014392472,,180.65,-15.63,-0.0865208967616939,,180.65,-15.63,-0.0865208967616939,,180.65,6.21,0.0343758649321893
,,180.88,37.32,0.206324635117205,,180.88,3.44,0.0190181335692172,,180.88,-76.74,-0.424259177355153,,180.88,-98.47,-0.544394073418841,,180.88,-4.25,-0.0234962406015038,,180.88,-52.48,-0.290137107474569,,180.88,-21.37,-0.118144626271561,,180.88,-21.37,-0.118144626271561,,180.88,-5.39,-0.0297987616099071
